,Players_1,BattingOrder_1,inning_bat_1,Bat_Bowler_1,Bat_Dismissal_1,Bat_Runs_1,4s_1,6s_1,Ball Faced_1,Dots_1,BattingTeam_1,inning_bowl_1,Over_1,Runs_1,Wicket_1,Maiden_1,extra_1,fowRuns_1,wicketNumber_1,fowOver_1,Gender,Date,Season,Toss_winner,Toss_decision,Player_of_match,Winner,Winner_runs,Winner_wickets,Method,Outcome
0,PJ Moor,1,1.0,BB Sran,lbw,3.0,0.0,0.0,5.0,3.0,Zimbabwe,2.0,-,-,-,-,-,8.0,1.0,1.7,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
1,CJ Chibhabha,2,1.0,JJ Bumrah,bowled,13.0,0.0,0.0,41.0,38.0,Zimbabwe,2.0,8.0,13.0,0.0,1.0,2.0,47.0,3.0,13.1,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
2,H Masakadza,3,1.0,DS Kulkarni,caught,14.0,2.0,0.0,21.0,15.0,Zimbabwe,2.0,2.3,19.0,0.0,0.0,0.0,30.0,2.0,8.4,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
3,CR Ervine,4,1.0,AR Patel,caught,21.0,1.0,0.0,42.0,33.0,Zimbabwe,2.0,-,-,-,-,-,77.0,5.0,23.7,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
4,V Sibanda,5,1.0,JJ Bumrah,caught,5.0,0.0,0.0,20.0,16.0,Zimbabwe,2.0,-,-,-,-,-,69.0,4.0,19.2,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
5,Sikandar Raza,6,1.0,BB Sran,bowled,23.0,2.0,0.0,54.0,38.0,Zimbabwe,2.0,5.0,20.0,0.0,0.0,0.0,115.0,6.0,37.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
6,E Chigumbura,7,1.0,JJ Bumrah,bowled,41.0,1.0,0.0,64.0,33.0,Zimbabwe,2.0,4.0,32.0,0.0,0.0,2.0,167.0,9.0,49.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
7,R Mutumbami,8,1.0,YS Chahal,caught,15.0,2.0,0.0,27.0,19.0,Zimbabwe,2.0,-,-,-,-,-,140.0,7.0,43.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
8,AG Cremer,9,1.0,DS Kulkarni,bowled,8.0,1.0,0.0,11.0,6.0,Zimbabwe,2.0,10.0,47.0,0.0,0.0,0.0,156.0,8.0,46.5,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
9,TL Chatara,10,1.0,JJ Bumrah,caught,4.0,0.0,0.0,10.0,6.0,Zimbabwe,2.0,7.0,20.0,1.0,1.0,0.0,168.0,10.0,49.5,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
10,T Muzarabani,11,1.0,-,not out,1.0,0.0,0.0,1.0,0.0,Zimbabwe,2.0,6.0,18.0,0.0,0.0,0.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
11,KL Rahul,1,2.0,-,not out,100.0,7.0,1.0,115.0,52.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
12,KK Nair,2,2.0,TL Chatara,caught,7.0,1.0,0.0,20.0,17.0,India,1.0,-,-,-,-,-,11.0,1.0,4.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
13,AT Rayudu,3,2.0,-,not out,62.0,5.0,0.0,119.0,78.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
14,DS Kulkarni,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,10.0,41.0,2.0,1.0,1.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
15,BB Sran,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,10.0,36.0,2.0,0.0,7.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
16,JJ Bumrah,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,9.5,19.0,4.0,1.0,11.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
17,AR Patel,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,10.0,25.0,1.0,1.0,1.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
18,YS Chahal,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,10.0,27.0,1.0,1.0,0.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
19,H Masakadza,1,1.0,BB Sran,caught,9.0,1.0,0.0,17.0,14.0,Zimbabwe,2.0,-,-,-,-,-,19.0,1.0,4.3,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
20,CJ Chibhabha,2,1.0,DS Kulkarni,lbw,21.0,1.0,0.0,24.0,16.0,Zimbabwe,2.0,9.0,30.0,1.0,1.0,1.0,39.0,3.0,9.6,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
21,PJ Moor,3,1.0,BB Sran,lbw,1.0,0.0,0.0,9.0,8.0,Zimbabwe,2.0,-,-,-,-,-,21.0,2.0,6.2,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
22,V Sibanda,4,1.0,YS Chahal,caught,53.0,6.0,1.0,67.0,45.0,Zimbabwe,2.0,-,-,-,-,-,107.0,6.0,27.4,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
23,Sikandar Raza,5,1.0,YS Chahal,caught,16.0,1.0,0.0,41.0,31.0,Zimbabwe,2.0,1.5,7.0,1.0,0.0,0.0,106.0,4.0,25.2,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
24,E Chigumbura,6,1.0,YS Chahal,lbw,0.0,0.0,0.0,1.0,1.0,Zimbabwe,2.0,2.0,12.0,0.0,0.0,8.0,106.0,5.0,25.3,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
25,R Mutumbami,7,1.0,JJ Bumrah,caught,2.0,0.0,0.0,14.0,12.0,Zimbabwe,2.0,-,-,-,-,-,112.0,7.0,30.2,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
26,AG Cremer,8,1.0,-,not out,7.0,0.0,0.0,14.0,10.0,Zimbabwe,2.0,3.0,17.0,0.0,0.0,0.0,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
27,TL Chatara,9,1.0,DS Kulkarni,bowled,2.0,0.0,0.0,6.0,5.0,Zimbabwe,2.0,8.0,38.0,0.0,1.0,3.0,115.0,8.0,31.4,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
28,T Muzarabani,10,1.0,AR Patel,lbw,5.0,1.0,0.0,10.0,8.0,Zimbabwe,2.0,3.0,13.0,0.0,1.0,0.0,126.0,9.0,34.4,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
29,KL Rahul,1,2.0,CJ Chibhabha,bowled,33.0,4.0,0.0,50.0,35.0,India,1.0,-,-,-,-,-,58.0,1.0,14.4,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
30,KK Nair,2,2.0,Sikandar Raza,lbw,39.0,5.0,0.0,65.0,48.0,India,1.0,-,-,-,-,-,125.0,2.0,26.4,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
31,AT Rayudu,3,2.0,-,not out,41.0,7.0,0.0,44.0,28.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
32,MK Pandey,4,2.0,-,not out,4.0,1.0,0.0,1.0,0.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
33,BB Sran,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,6.0,16.0,2.0,1.0,4.0,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
34,DS Kulkarni,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,9.0,31.0,2.0,1.0,1.0,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
35,JJ Bumrah,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,6.0,24.0,1.0,0.0,3.0,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
36,AR Patel,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,7.4,21.0,1.0,0.0,1.0,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
37,YS Chahal,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,6.0,24.0,3.0,2.0,1.0,-,-,-,male,2016/06/13,2016,India,field,YS Chahal,India,,8.0,,
38,H Masakadza,1,1.0,DS Kulkarni,caught,8.0,1.0,0.0,18.0,17.0,Zimbabwe,2.0,-,-,-,-,-,19.0,1.0,5.4,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
39,CJ Chibhabha,2,1.0,YS Chahal,caught,27.0,3.0,0.0,64.0,52.0,Zimbabwe,2.0,1.5,15.0,0.0,0.0,0.0,55.0,2.0,20.1,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
40,V Sibanda,3,1.0,YS Chahal,caught and bowled,38.0,2.0,1.0,70.0,49.0,Zimbabwe,2.0,-,-,-,-,-,89.0,3.0,28.4,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
41,T Maruma,4,1.0,JJ Bumrah,bowled,17.0,1.0,0.0,29.0,16.0,Zimbabwe,2.0,-,-,-,-,-,104.0,4.0,32.5,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
42,MN Waller,5,1.0,AR Patel,run out,8.0,0.0,0.0,15.0,7.0,Zimbabwe,2.0,-,-,-,-,-,104.0,6.0,33.1,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
43,E Chigumbura,6,1.0,JJ Bumrah,caught,0.0,0.0,0.0,1.0,1.0,Zimbabwe,2.0,-,-,-,-,-,104.0,5.0,32.6,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
44,AG Cremer,7,1.0,AR Patel,lbw,0.0,0.0,0.0,1.0,1.0,Zimbabwe,2.0,4.0,26.0,0.0,0.0,0.0,104.0,7.0,33.2,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
45,N Madziva,8,1.0,-,not out,10.0,0.0,0.0,26.0,19.0,Zimbabwe,2.0,5.0,23.0,0.0,0.0,2.0,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
46,R Mutumbami,9,1.0,JJ Bumrah,caught,4.0,1.0,0.0,3.0,2.0,Zimbabwe,2.0,-,-,-,-,-,108.0,8.0,34.3,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
47,T Mupariwa,10,1.0,JJ Bumrah,caught,1.0,0.0,0.0,8.0,8.0,Zimbabwe,2.0,6.0,42.0,0.0,0.0,3.0,110.0,9.0,36.4,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
48,DT Tiripano,11,1.0,DS Kulkarni,run out,2.0,0.0,0.0,16.0,15.0,Zimbabwe,2.0,5.0,12.0,0.0,1.0,3.0,123.0,10.0,42.3,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
49,KL Rahul,1,2.0,-,not out,63.0,4.0,2.0,70.0,36.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
50,FY Fazal,2,2.0,-,not out,55.0,7.0,1.0,59.0,40.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
51,BB Sran,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,8.0,39.0,0.0,0.0,2.0,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
52,DS Kulkarni,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,6.3,15.0,2.0,1.0,2.0,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
53,JJ Bumrah,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,10.0,20.0,4.0,1.0,4.0,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
54,AR Patel,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,10.0,16.0,2.0,2.0,0.0,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
55,YS Chahal,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,8.0,25.0,2.0,0.0,0.0,-,-,-,male,2016/06/15,2016,Zimbabwe,bat,KL Rahul,India,,10.0,,
56,MJ Guptill,1,1.0,Mustafizur Rahman,caught,15.0,1.0,1.0,17.0,12.0,New Zealand,2.0,-,-,-,-,-,31.0,1.0,5.1,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
57,TWM Latham,2,1.0,Mustafizur Rahman,caught,137.0,7.0,4.0,118.0,42.0,New Zealand,2.0,-,-,-,-,-,323.0,6.0,47.3,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
58,KS Williamson,3,1.0,Taskin Ahmed,caught,31.0,5.0,0.0,36.0,22.0,New Zealand,2.0,-,-,-,-,-,79.0,2.0,14.2,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
59,NT Broom,4,1.0,Shakib Al Hasan,lbw,22.0,0.0,0.0,32.0,17.0,New Zealand,2.0,-,-,-,-,-,134.0,3.0,24.3,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
60,JDS Neesham,5,1.0,Shakib Al Hasan,lbw,12.0,2.0,0.0,13.0,7.0,New Zealand,2.0,7.0,31.0,3.0,1.0,6.0,158.0,4.0,28.4,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
61,C Munro,6,1.0,Shakib Al Hasan,caught,87.0,8.0,4.0,60.0,23.0,New Zealand,2.0,-,-,-,-,-,316.0,5.0,46.3,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
62,L Ronchi,7,1.0,Taskin Ahmed,bowled,5.0,0.0,0.0,6.0,2.0,New Zealand,2.0,-,-,-,-,-,327.0,7.0,48.2,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
63,MJ Santner,8,1.0,-,not out,8.0,0.0,0.0,7.0,2.0,New Zealand,2.0,10.0,58.0,1.0,0.0,3.0,-,-,-,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
64,TG Southee,9,1.0,-,not out,7.0,1.0,0.0,3.0,2.0,New Zealand,2.0,10.0,60.0,3.0,2.0,3.0,-,-,-,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
65,TA Boult,DNB,1.0,-,DNB,-,-,-,-,-,New Zealand,2.0,9.0,40.0,0.0,0.0,4.0,-,-,-,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
66,LH Ferguson,DNB,1.0,-,DNB,-,-,-,-,-,New Zealand,2.0,9.0,49.0,3.0,0.0,10.0,-,-,-,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
67,Tamim Iqbal,1,2.0,JDS Neesham,caught,38.0,5.0,0.0,57.0,42.0,Bangladesh,1.0,-,-,-,-,-,81.0,4.0,17.8,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
68,Imrul Kayes,2,2.0,TG Southee,caught,16.0,2.0,1.0,21.0,18.0,Bangladesh,1.0,-,-,-,-,-,34.0,1.0,7.3,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
69,Soumya Sarkar,3,2.0,JDS Neesham,caught,1.0,0.0,0.0,8.0,7.0,Bangladesh,1.0,4.0,25.0,0.0,0.0,1.0,48.0,2.0,11.2,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
70,Mahmudullah,4,2.0,JDS Neesham,caught,0.0,0.0,0.0,3.0,3.0,Bangladesh,1.0,-,-,-,-,-,48.0,3.0,11.5,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
71,Shakib Al Hasan,5,2.0,LH Ferguson,caught,59.0,5.0,2.0,53.0,28.0,Bangladesh,1.0,10.0,68.0,3.0,0.0,1.0,144.0,5.0,27.3,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
72,Mushfiqur Rahim,6,2.0,TG Southee,retired hurt,42.0,3.0,0.0,46.0,27.0,Bangladesh,1.0,-,-,-,-,-,219.0,7.0,38.3,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
73,Sabbir Rahman,7,2.0,LH Ferguson,caught,16.0,0.0,1.0,11.0,3.0,Bangladesh,1.0,-,-,-,-,-,167.0,6.0,30.4,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
74,Mosaddek Hossain,8,2.0,-,not out,50.0,5.0,3.0,44.0,28.0,Bangladesh,1.0,7.0,40.0,0.0,0.0,0.0,-,-,-,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
75,Mashrafe Mortaza,9,2.0,MJ Santner,caught,14.0,3.0,0.0,10.0,6.0,Bangladesh,1.0,10.0,61.0,0.0,0.0,10.0,242.0,8.0,41.1,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
76,Taskin Ahmed,10,2.0,LH Ferguson,caught,2.0,0.0,0.0,11.0,9.0,Bangladesh,1.0,9.0,70.0,2.0,0.0,1.0,252.0,9.0,43.6,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
77,Mustafizur Rahman,11,2.0,TG Southee,bowled,0.0,0.0,0.0,1.0,1.0,Bangladesh,1.0,10.0,60.0,2.0,0.0,4.0,264.0,10.0,44.6,male,2016/12/26,2016/17,New Zealand,bat,TWM Latham,New Zealand,77.0,,,
78,MJ Guptill,1,1.0,Mashrafe Mortaza,lbw,0.0,0.0,0.0,4.0,4.0,New Zealand,2.0,-,-,-,-,-,0.0,1.0,0.4,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
79,KS Williamson,2,1.0,Taskin Ahmed,caught,14.0,2.0,0.0,34.0,31.0,New Zealand,2.0,5.0,21.0,3.0,0.0,1.0,37.0,2.0,10.5,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
80,TWM Latham,3,1.0,Shakib Al Hasan,lbw,22.0,4.0,0.0,34.0,26.0,New Zealand,2.0,-,-,-,-,-,47.0,3.0,13.1,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
81,NT Broom,4,1.0,-,not out,109.0,8.0,3.0,107.0,42.0,New Zealand,2.0,-,-,-,-,-,-,-,-,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
82,JDS Neesham,5,1.0,Mosaddek Hossain,stumped,28.0,3.0,1.0,31.0,17.0,New Zealand,2.0,2.0,12.0,0.0,0.0,1.0,98.0,4.0,22.5,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
83,C Munro,6,1.0,Mashrafe Mortaza,bowled,3.0,0.0,0.0,7.0,4.0,New Zealand,2.0,2.0,12.0,0.0,0.0,0.0,107.0,5.0,25.3,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
84,L Ronchi,7,1.0,Taskin Ahmed,caught,35.0,4.0,1.0,38.0,21.0,New Zealand,2.0,-,-,-,-,-,171.0,6.0,37.3,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
85,MJ Santner,8,1.0,Subashis Roy,caught,9.0,0.0,0.0,17.0,12.0,New Zealand,2.0,8.0,19.0,2.0,1.0,5.0,198.0,7.0,42.5,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
86,TG Southee,9,1.0,Shakib Al Hasan,caught,3.0,0.0,0.0,7.0,5.0,New Zealand,2.0,9.0,31.0,2.0,1.0,2.0,214.0,8.0,45.2,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
87,LH Ferguson,10,1.0,Mashrafe Mortaza,caught,4.0,1.0,0.0,6.0,7.0,New Zealand,2.0,8.0,50.0,1.0,0.0,3.0,228.0,9.0,46.6,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
88,TA Boult,11,1.0,Taskin Ahmed,run out,12.0,2.0,0.0,11.0,8.0,New Zealand,2.0,8.5,23.0,2.0,0.0,4.0,251.0,10.0,49.6,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
89,Tamim Iqbal,1,2.0,TG Southee,caught,16.0,3.0,0.0,23.0,17.0,Bangladesh,1.0,-,-,-,-,-,30.0,1.0,7.2,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
90,Imrul Kayes,2,2.0,TG Southee,caught,59.0,6.0,0.0,88.0,51.0,Bangladesh,1.0,-,-,-,-,-,136.0,6.0,31.3,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
91,Sabbir Rahman,3,2.0,MJ Santner,run out,38.0,2.0,3.0,48.0,34.0,Bangladesh,1.0,-,-,-,-,-,105.0,2.0,22.7,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
92,Mahmudullah,4,2.0,LH Ferguson,bowled,1.0,0.0,0.0,9.0,9.0,Bangladesh,1.0,-,-,-,-,-,112.0,3.0,25.3,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
93,Shakib Al Hasan,5,2.0,KS Williamson,caught,7.0,1.0,0.0,10.0,7.0,Bangladesh,1.0,10.0,45.0,2.0,0.0,2.0,128.0,4.0,28.5,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
94,Mosaddek Hossain,6,2.0,KS Williamson,caught,3.0,0.0,0.0,8.0,5.0,Bangladesh,1.0,2.0,12.0,1.0,0.0,0.0,134.0,5.0,30.4,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
95,Tanbir Hayder,7,2.0,KS Williamson,stumped,2.0,0.0,0.0,5.0,4.0,Bangladesh,1.0,8.0,47.0,0.0,0.0,0.0,141.0,7.0,32.4,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
96,Nurul Hasan,8,2.0,TA Boult,caught,24.0,1.0,1.0,30.0,19.0,Bangladesh,1.0,-,-,-,-,-,184.0,10.0,42.5,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
97,Mashrafe Mortaza,9,2.0,TA Boult,caught,17.0,2.0,1.0,19.0,14.0,Bangladesh,1.0,10.0,47.0,3.0,1.0,3.0,162.0,8.0,36.4,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
98,Taskin Ahmed,10,2.0,MJ Santner,stumped,0.0,0.0,0.0,4.0,4.0,Bangladesh,1.0,10.0,44.0,3.0,1.0,2.0,175.0,9.0,39.3,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
99,Subashis Roy,11,2.0,-,not out,1.0,0.0,0.0,9.0,8.0,Bangladesh,1.0,10.0,44.0,1.0,1.0,5.0,-,-,-,male,2016/12/29,2016/17,Bangladesh,field,NT Broom,New Zealand,67.0,,,
100,Tamim Iqbal,1,1.0,JDS Neesham,caught,59.0,5.0,0.0,84.0,55.0,Bangladesh,2.0,-,-,-,-,-,141.0,4.0,30.1,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
101,Imrul Kayes,2,1.0,MJ Santner,caught,44.0,5.0,1.0,62.0,39.0,Bangladesh,2.0,-,-,-,-,-,102.0,1.0,21.2,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
102,Sabbir Rahman,3,1.0,MJ Henry,caught,19.0,4.0,0.0,14.0,10.0,Bangladesh,2.0,3.0,20.0,0.0,0.0,1.0,127.0,2.0,24.6,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
103,Mahmudullah,4,1.0,TG Southee,caught,3.0,0.0,0.0,7.0,4.0,Bangladesh,2.0,1.0,6.0,0.0,0.0,0.0,133.0,3.0,26.3,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
104,Shakib Al Hasan,5,1.0,JS Patel,run out,18.0,1.0,0.0,35.0,21.0,Bangladesh,2.0,8.0,55.0,0.0,0.0,0.0,168.0,5.0,36.1,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
105,Mosaddek Hossain,6,1.0,JS Patel,lbw,11.0,1.0,0.0,13.0,6.0,Bangladesh,2.0,4.0,26.0,0.0,0.0,0.0,170.0,6.0,36.5,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
106,Nurul Hasan,7,1.0,MJ Henry,caught and bowled,44.0,3.0,1.0,39.0,13.0,Bangladesh,2.0,-,-,-,-,-,235.0,9.0,49.3,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
107,Tanbir Hayder,8,1.0,KS Williamson,bowled,3.0,0.0,0.0,11.0,8.0,Bangladesh,2.0,2.0,20.0,0.0,0.0,0.0,179.0,7.0,39.5,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
108,Mashrafe Mortaza,9,1.0,MJ Santner,caught,14.0,0.0,0.0,18.0,7.0,Bangladesh,2.0,7.0,32.0,1.0,0.0,6.0,212.0,8.0,46.2,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
109,Taskin Ahmed,10,1.0,-,not out,4.0,0.0,0.0,12.0,9.0,Bangladesh,2.0,7.0,40.0,0.0,0.0,1.0,-,-,-,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
110,Mustafizur Rahman,DNB,1.0,-,DNB,-,-,-,-,-,Bangladesh,2.0,9.2,31.0,2.0,2.0,1.0,-,-,-,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
111,MJ Guptill,1,2.0,Mashrafe Mortaza,retired hurt,6.0,1.0,0.0,5.0,2.0,New Zealand,1.0,-,-,-,-,-,16.0,2.0,2.5,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
112,TWM Latham,2,2.0,Mustafizur Rahman,lbw,4.0,1.0,0.0,6.0,6.0,New Zealand,1.0,-,-,-,-,-,10.0,1.0,1.5,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
113,KS Williamson,3,2.0,-,not out,95.0,9.0,1.0,114.0,63.0,New Zealand,1.0,8.0,24.0,1.0,1.0,0.0,-,-,-,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
114,NT Broom,4,2.0,Mustafizur Rahman,caught,97.0,12.0,1.0,97.0,49.0,New Zealand,1.0,-,-,-,-,-,195.0,3.0,34.1,male,2016/12/31,2016/17,Bangladesh,bat,KS Williamson,New Zealand,,8.0,,
